Primary Platform,Daily Working Hours,Delivery Zone,Average Daily Income,Weather-Affected Days (Last 3 Months),Estimated Income Loss on Bad Days,Weather Disruptions Faced,Non-Weather Disruptions Faced,Coping Strategy on Lost Days,Willing to Pay ₹29–49/week for Auto-Payout,Preferred Payout Method,Desired Income Protection Feature
Amazon,Less than 4 hrs,Khandagiri / Bhubaneswar West,₹300–500,5–7 days,₹100–200,Heavy rain,"Local bandh / strike, App went down",Use savings,Yes,Cash,Support system for riders when city shuts down due to floods
Swiggy,10+ hrs,Khandagiri / Bhubaneswar West,₹800–1200,More than 7 days,₹400–600,"Heavy rain, Extreme heat","Local bandh / strike, App went down",Use savings,No,UPI,Emergency support during heavy rain would be great
Zepto,Less than 4 hrs,Saheed Nagar / IRC Village,₹300–500,5–7 days,₹100–200,"Heavy rain, Extreme heat, Fog / low visibility",None,Take loan,Maybe,UPI,Emergency support during heavy rain would be great
Swiggy,4–6 hrs,Nayapalli / Patia,₹500–800,3–5 days,₹200–400,"Heavy rain, Fog / low visibility",None,Borrow from family,Maybe,Cash,Wish the company gave us something when weather is bad
BigBasket,4–6 hrs,Old Town / Cuttack Road,₹300–500,More than 7 days,₹600+,Extreme heat,App went down,Borrow from family,No,Bank transfer,Some backup income when bandh or strike happens
Swiggy,4–6 hrs,Mancheswar / Rasulgarh,₹500–800,More than 7 days,₹600+,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",None,Work extra next day,Maybe,Bank transfer,Protection during heatwave because cycling is dangerous
Zomato,4–6 hrs,Nayapalli / Patia,₹500–800,0–2 days,₹200–400,"Heavy rain, Extreme heat",None,Take loan,Maybe,UPI,Better protection when apps go down suddenly
Amazon,10+ hrs,Khandagiri / Bhubaneswar West,₹1200+,5–7 days,₹600+,"Heavy rain, Extreme heat, Cyclone warning",None,Reduce expenses,Yes,Cash,A weekly protection amount so family does not suffer
Flipkart,10+ hrs,Mancheswar / Rasulgarh,₹800–1200,5–7 days,₹400–600,"Heavy rain, Fog / low visibility",Festival road closure,Take loan,Yes,UPI,Automatic payout when rain stops all orders
BigBasket,Less than 4 hrs,Khandagiri / Bhubaneswar West,₹300–500,More than 7 days,₹400–600,"Extreme heat, Cyclone warning",Festival road closure,Reduce expenses,No,UPI,Income protection that works automatically without paperwork
Flipkart,4–6 hrs,Old Town / Cuttack Road,₹500–800,5–7 days,₹400–600,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",Local bandh / strike,Borrow from family,Yes,Cash,Some kind of income insurance would help a lot
Zomato,Less than 4 hrs,Saheed Nagar / IRC Village,₹300–500,0–2 days,₹100–200,Heavy rain,App went down,Work extra next day,No,UPI,Better protection when apps go down suddenly
Swiggy,8–10 hrs,Old Town / Cuttack Road,₹1200+,More than 7 days,₹600+,"Heavy rain, Extreme heat",Local bandh / strike,Borrow from family,Yes,UPI,Insurance that covers us during cyclone or flood days
BigBasket,8–10 hrs,Old Town / Cuttack Road,₹800–1200,3–5 days,₹600+,"Heavy rain, Cyclone warning",Festival road closure,Reduce expenses,Yes,UPI,Automatic payout when rain stops all orders
Zomato,8–10 hrs,Old Town / Cuttack Road,₹1200+,3–5 days,₹600+,"Extreme heat, Cyclone warning",App went down,Reduce expenses,Maybe,Cash,Even small weekly guarantee would help during rain season
Zomato,4–6 hrs,Mancheswar / Rasulgarh,₹500–800,0–2 days,₹200–400,Extreme heat,Festival road closure,Borrow from family,Yes,UPI,Support system for riders when city shuts down due to floods
Swiggy,4–6 hrs,Nayapalli / Patia,₹500–800,3–5 days,₹200–400,None,None,Use savings,No,Bank transfer,A system that pays us automatically when we cannot ride
Amazon,6–8 hrs,Saheed Nagar / IRC Village,₹800–1200,0–2 days,₹400–600,"Heavy rain, Fog / low visibility",Local bandh / strike,Borrow from family,Yes,Bank transfer,A weekly protection amount so family does not suffer
Zomato,8–10 hrs,Jaydev Vihar / Infocity,₹1200+,0–2 days,₹600+,Extreme heat,App went down,Take loan,Maybe,UPI,Something like insurance but simple and through UPI
Zomato,6–8 hrs,Saheed Nagar / IRC Village,₹800–1200,0–2 days,₹400–600,Cyclone warning,"Local bandh / strike, App went down",Work extra next day,Maybe,Cash,Weather based automatic payment would change our lives
BigBasket,Less than 4 hrs,Nayapalli / Patia,₹300–500,3–5 days,₹100–200,"Cyclone warning, Fog / low visibility",None,Borrow from family,No,UPI,Automatic payout when rain stops all orders
Amazon,Less than 4 hrs,Jaydev Vihar / Infocity,₹300–500,More than 7 days,₹400–600,"Heavy rain, Extreme heat, Cyclone warning","Local bandh / strike, App went down",Take loan,No,Cash,Automatic payout when rain stops all orders
Blinkit,4–6 hrs,Old Town / Cuttack Road,₹300–500,0–2 days,₹200–400,Heavy rain,App went down,Use savings,No,Bank transfer,Some backup income when bandh or strike happens
Flipkart,Less than 4 hrs,Saheed Nagar / IRC Village,₹300–500,More than 7 days,₹600+,"Heavy rain, Extreme heat, Fog / low visibility",App went down,Work extra next day,No,Cash,Something like insurance but simple and through UPI
Zepto,10+ hrs,Old Town / Cuttack Road,₹800–1200,3–5 days,₹600+,Heavy rain,None,Use savings,No,Bank transfer,Emergency support during heavy rain would be great
Amazon,6–8 hrs,Khandagiri / Bhubaneswar West,₹800–1200,0–2 days,₹600+,Heavy rain,Festival road closure,Work extra next day,Maybe,Cash,Wish the company gave us something when weather is bad
BigBasket,10+ hrs,Old Town / Cuttack Road,₹1200+,0–2 days,₹600+,Heavy rain,App went down,Work extra next day,Maybe,UPI,Emergency support during heavy rain would be great
Blinkit,10+ hrs,Nayapalli / Patia,₹1200+,3–5 days,₹600+,"Heavy rain, Extreme heat, Cyclone warning",App went down,Work extra next day,Maybe,Cash,Insurance that covers us during cyclone or flood days
Amazon,8–10 hrs,Old Town / Cuttack Road,₹1200+,3–5 days,₹600+,Extreme heat,"Local bandh / strike, App went down",Reduce expenses,No,UPI,Income protection that works automatically without paperwork
Zomato,Less than 4 hrs,Mancheswar / Rasulgarh,₹300–500,More than 7 days,₹600+,None,None,Use savings,Maybe,Bank transfer,A fund we contribute to and get back during bad days
Blinkit,4–6 hrs,Jaydev Vihar / Infocity,₹500–800,More than 7 days,₹400–600,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",App went down,Use savings,No,Cash,A system that pays us automatically when we cannot ride
Amazon,4–6 hrs,Old Town / Cuttack Road,₹300–500,More than 7 days,₹600+,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",None,Reduce expenses,No,Bank transfer,I wish there was a safety net for bad days
Blinkit,6–8 hrs,Old Town / Cuttack Road,₹800–1200,3–5 days,₹600+,"Heavy rain, Cyclone warning",App went down,Work extra next day,Yes,Cash,Income protection that works automatically without paperwork
Swiggy,8–10 hrs,Nayapalli / Patia,₹800–1200,More than 7 days,₹400–600,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",None,Take loan,No,Bank transfer,Emergency support during heavy rain would be great
Zepto,Less than 4 hrs,Saheed Nagar / IRC Village,₹300–500,3–5 days,₹100–200,None,"Local bandh / strike, Festival road closure, App went down",Use savings,No,Cash,Better protection when apps go down suddenly
BigBasket,4–6 hrs,Khandagiri / Bhubaneswar West,₹500–800,5–7 days,₹400–600,"Heavy rain, Extreme heat, Fog / low visibility",App went down,Borrow from family,No,Cash,App downtime should mean some compensation for us
Zepto,4–6 hrs,Jaydev Vihar / Infocity,₹300–500,3–5 days,₹100–200,None,App went down,Reduce expenses,No,Cash,Protection during heatwave because cycling is dangerous
Swiggy,10+ hrs,Nayapalli / Patia,₹1200+,More than 7 days,₹600+,Heavy rain,None,Take loan,Maybe,Cash,Even small weekly guarantee would help during rain season
Zepto,8–10 hrs,Saheed Nagar / IRC Village,₹1200+,3–5 days,₹600+,Heavy rain,None,Take loan,Yes,Bank transfer,Insurance that covers us during cyclone or flood days
Blinkit,6–8 hrs,Saheed Nagar / IRC Village,₹800–1200,5–7 days,₹400–600,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",None,Work extra next day,No,UPI,Emergency support during heavy rain would be great
Blinkit,4–6 hrs,Khandagiri / Bhubaneswar West,₹500–800,3–5 days,₹400–600,None,None,Work extra next day,No,Bank transfer,Some backup income when bandh or strike happens
Zomato,Less than 4 hrs,Saheed Nagar / IRC Village,₹300–500,0–2 days,₹100–200,Heavy rain,None,Use savings,No,UPI,Protection during heatwave because cycling is dangerous
Zomato,6–8 hrs,Khandagiri / Bhubaneswar West,₹500–800,3–5 days,₹400–600,"Heavy rain, Extreme heat",App went down,Borrow from family,Maybe,Bank transfer,Even small weekly guarantee would help during rain season
Zepto,8–10 hrs,Mancheswar / Rasulgarh,₹1200+,0–2 days,₹600+,None,"Local bandh / strike, App went down",Use savings,Maybe,Bank transfer,Emergency support during heavy rain would be great
Zomato,Less than 4 hrs,Jaydev Vihar / Infocity,₹300–500,3–5 days,₹200–400,Heavy rain,None,Borrow from family,Yes,Cash,Insurance that covers us during cyclone or flood days
Blinkit,Less than 4 hrs,Mancheswar / Rasulgarh,₹300–500,3–5 days,₹100–200,Heavy rain,"Local bandh / strike, App went down",Work extra next day,Yes,Cash,Automatic payout when rain stops all orders
Blinkit,10+ hrs,Old Town / Cuttack Road,₹800–1200,0–2 days,₹400–600,Fog / low visibility,Local bandh / strike,Reduce expenses,No,Bank transfer,Better protection when apps go down suddenly
Zepto,6–8 hrs,Saheed Nagar / IRC Village,₹800–1200,More than 7 days,₹600+,"Heavy rain, Extreme heat, Cyclone warning, Fog / low visibility",Festival road closure,Reduce expenses,Maybe,UPI,Some backup income when bandh or strike happens
BigBasket,Less than 4 hrs,Old Town / Cuttack Road,₹300–500,More than 7 days,₹600+,"Heavy rain, Extreme heat, Fog / low visibility","Local bandh / strike, App went down",Borrow from family,Yes,Bank transfer,Weather based automatic payment would change our lives
Amazon,8–10 hrs,Khandagiri / Bhubaneswar West,₹1200+,More than 7 days,₹400–600,"Heavy rain, Extreme heat, Cyclone warning",None,Reduce expenses,No,Bank transfer,Some kind of income insurance would help a lot
